source,relation,target
714562005,INTERPRETS,3850002
714562005,INTERPRETS,225854008
714562005,INTERPRETS,713985006
714416000,IS_A,366001003
714416000,INTERPRETS,3850002
714416000,INTERPRETS,225854008
714416000,INTERPRETS,713985006
714862000,IS_A,225855009
714862000,INTERPRETS,3850002
714862000,INTERPRETS,713985006
284531007,IS_A,284465006
284531007,INTERPRETS,3850002
118193001,IS_A,284465006
118193001,IS_A,118191004
118193001,INTERPRETS,3850002
225814006,IS_A,118193001
225814006,INTERPRETS,3850002
225816008,IS_A,118193001
225816008,INTERPRETS,3850002
225817004,IS_A,118193001
225817004,INTERPRETS,3850002
714385005,IS_A,118193001
714385005,INTERPRETS,3850002
714419007,IS_A,118193001
714419007,INTERPRETS,3850002
714855009,IS_A,118193001
714855009,INTERPRETS,3850002
714856005,IS_A,118193001
714856005,INTERPRETS,3850002
22927000,IS_A,844005
22927000,IS_A,284465006
22927000,INTERPRETS,363896009
22927000,INTERPRETS,3850002
163614007,IS_A,271893008
163614007,IS_A,22927000
163614007,INTERPRETS,363896009
163614007,INTERPRETS,3850002
54380006,IS_A,284465006
54380006,IS_A,50202006
54380006,INTERPRETS,160476009
54380006,INTERPRETS,3850002
57097000,IS_A,284465006
57097000,IS_A,409033001
57097000,INTERPRETS,3850002
270428008,IS_A,284465006
270428008,IS_A,365448001
270428008,INTERPRETS,160476009
270428008,INTERPRETS,3850002
365996006,IS_A,284465006
365996006,INTERPRETS,225598002
365996006,INTERPRETS,3850002
365997002,IS_A,365996006
365997002,INTERPRETS,225597007
365997002,INTERPRETS,3850002
129874008,IS_A,106024000
129874008,IS_A,365997002
129874008,INTERPRETS,225597007
129874008,INTERPRETS,3850002
129875009,IS_A,129874008
129875009,INTERPRETS,225597007
129875009,INTERPRETS,3850002
77096008,IS_A,129875009
77096008,INTERPRETS,225597007
77096008,INTERPRETS,3850002
423315002,IS_A,129875009
423315002,INTERPRETS,225597007
423315002,INTERPRETS,3850002
422611005,IS_A,423315002
422611005,INTERPRETS,225597007
422611005,INTERPRETS,3850002
129872007,IS_A,129874008
129872007,INTERPRETS,225597007
129872007,INTERPRETS,3850002
425266007,IS_A,129874008
425266007,IS_A,105507009
425266007,INTERPRETS,225597007
425266007,INTERPRETS,3850002
105411000,IS_A,365997002
105411000,IS_A,422650009
105411000,INTERPRETS,225597007
105411000,INTERPRETS,3850002
365998007,IS_A,284465006
365998007,INTERPRETS,225847002
365998007,INTERPRETS,3850002
225848007,IS_A,118231006
225848007,IS_A,365998007
225848007,INTERPRETS,225847002
225848007,INTERPRETS,364644000
225848007,INTERPRETS,363912006
225848007,INTERPRETS,3850002
225849004,IS_A,365998007
225849004,IS_A,118231006
225849004,INTERPRETS,225847002
225849004,INTERPRETS,364644000
225849004,INTERPRETS,363912006
225849004,INTERPRETS,3850002
366002005,IS_A,284465006
366002005,INTERPRETS,225810002
366002005,INTERPRETS,3850002
225811003,IS_A,366002005
225811003,INTERPRETS,225810002
225811003,INTERPRETS,3850002
106024000,IS_A,284465006
106024000,INTERPRETS,3850002
129876005,IS_A,106024000
129876005,INTERPRETS,3850002
423874001,IS_A,129876005
423874001,IS_A,844005
423874001,INTERPRETS,405073004
423874001,INTERPRETS,3850002
423571001,IS_A,129876005
423571001,IS_A,844005
423571001,INTERPRETS,405073004
423571001,INTERPRETS,3850002
423446002,IS_A,129876005
423446002,IS_A,844005
423446002,INTERPRETS,405073004
423446002,INTERPRETS,3850002
129879003,IS_A,106024000
129879003,IS_A,365483002
129879003,IS_A,844005
129879003,IS_A,365477000
129879003,INTERPRETS,224475003
129879003,INTERPRETS,405175009
129879003,INTERPRETS,3850002
300894000,IS_A,129879003
300894000,IS_A,48694002
300894000,INTERPRETS,285854004
300894000,INTERPRETS,405175009
300894000,INTERPRETS,224475003
300894000,INTERPRETS,3850002
270472006,IS_A,300894000
270472006,INTERPRETS,285854004
270472006,INTERPRETS,224475003
270472006,INTERPRETS,405175009
